date,value
2009-10-13,3199.99
2009-10-30,3399.0
2009-11-03,3399.0
2009-11-05,3190.0
2009-11-06,3199.99
2009-11-07,3190.0
2009-11-11,3299.0
2009-11-13,3399.0
2009-11-15,3299.0
2009-11-17,2990.0
2009-11-17,2990.0
2009-11-23,2649.99
2009-11-25,2750.0
2009-11-27,2750.0
2009-11-29,2649.99
2009-11-30,2649.99
2009-12-07,2595.0
2009-12-10,2649.99
2009-12-10,2649.99
2009-12-10,2649.99
2009-12-11,2649.99
2009-12-14,2695.0
2009-12-18,2749.99
2009-12-18,2749.99
2009-12-21,2700.0
2010-01-03,2649.99
2010-01-06,2649.99
2010-01-09,2599.95
2010-01-09,2599.95
2010-01-12,2599.0
2010-01-17,2499.95
2010-01-17,2499.95
2010-01-18,2449.99
2010-01-26,2424.99
2010-01-26,2424.99
2010-01-26,2424.99
2010-01-27,2424.99
2010-01-27,2425.0
2010-01-27,2425.0
2010-01-28,2425.0
2010-03-11,3499.95
2010-03-12,3499.95
2010-03-13,3499.95
2010-04-07,3499.95
2010-04-10,3499.95
2010-04-11,3499.99
2010-04-14,3499.95
2010-04-17,3499.95
2010-04-22,3449.88
2010-04-22,3449.88
2010-04-25,3389.99
2010-04-26,3400.0
2010-04-27,3389.99
2010-04-29,3371.47
2010-05-19,3361.99
2010-05-19,3361.99
2010-05-24,3361.99
2010-05-26,3361.99
2010-06-04,3361.99
2010-06-04,3361.99
2010-06-09,3361.99
2010-06-09,3361.99
2010-06-12,3361.99
2010-06-12,3361.99
2010-06-13,3360.99
2010-06-20,3354.97
2010-06-21,3350.0
2010-06-23,3350.0
2010-06-23,3350.0
2010-06-24,3350.0
2010-06-24,3350.0
2010-06-27,3349.99
2010-06-30,3348.97
2010-07-02,3344.99
2010-07-03,3340.0
2010-07-04,3339.99
2010-07-05,3339.95
2010-07-07,3335.55
2010-07-12,3334.0
2010-07-13,3331.5
2010-07-14,3334.0
2010-07-15,3331.5
2010-07-17,3334.0
2010-07-17,3331.5
2010-07-18,3330.56
2010-07-21,3322.5
2010-07-22,3299.99
2010-07-23,3299.95
2010-07-24,3299.69
2010-07-25,3299.0
2010-07-26,3258.44
2010-07-27,3229.0
2010-07-29,3098.0
2010-07-30,3084.95
2010-07-31,2999.99
2010-08-02,2950.0
2010-08-03,2827.81
2010-08-04,2799.99
2010-08-06,2799.99
2010-08-07,2750.0
2010-08-07,2750.0
2010-08-09,2749.99
2010-08-12,2599.99
2010-08-15,2599.99
2010-08-17,2599.99
2010-08-26,2599.99
2010-08-28,2699.99
2010-08-29,2699.97
2010-08-30,2699.0
2010-12-16,3265.0
2010-12-16,3264.97
2010-12-17,3264.97
2010-12-18,3264.97
2010-12-18,3264.97
2010-12-19,3259.99
2010-12-20,3249.95
2010-12-20,3249.95
2010-12-21,3249.0
2010-12-22,3249.0
2010-12-27,3199.99
2010-12-27,3199.99
2010-12-28,3197.97
2010-12-30,3197.97
2010-12-31,3199.97
2011-01-03,3197.97
2011-01-05,3199.9
2011-01-05,3199.97
2011-01-06,3199.97
2011-01-06,3199.99
2011-01-07,3199.99
2011-01-09,3179.98
2011-01-10,3179.96
2011-01-14,3169.89
2011-01-15,3168.96
2011-01-16,3149.99
2011-01-17,3147.99
2011-01-18,3149.99
2011-01-18,3147.99
2011-01-18,3149.99
2011-01-19,3150.0
2011-01-20,3099.99
2011-01-25,3098.97
2011-01-26,3064.94
2011-01-27,3064.93
2011-01-28,2985.0
2011-01-29,2982.4
2011-01-30,2916.99
2011-02-02,2898.98
2011-02-03,2885.99
2011-02-04,2816.37
2011-02-06,2815.49
2011-02-06,2816.37
2011-02-06,2815.49
2011-02-07,2758.48
2011-02-08,2758.47
2011-02-09,2756.99
2011-02-09,2730.0
2011-02-09,2756.99
2011-02-09,2730.0
2011-02-11,2730.0
2011-02-12,2700.0
2011-02-12,2694.99
2011-02-12,2688.99
2011-02-13,2688.99
2011-02-15,2675.0
2011-02-15,2669.96
2011-02-15,2669.96
2011-02-17,2676.99
2011-02-18,2665.0
2011-02-20,2661.99
2011-02-22,2658.99
2011-02-23,2656.0
2011-02-25,2650.0
2011-02-26,2649.99
2011-02-27,2649.99
2011-02-27,2648.65
2011-02-28,2646.45
2011-03-01,2645.45
2011-03-02,2644.99
2011-03-04,2639.99
2011-03-05,2638.0
2011-03-06,2630.0
2011-03-08,2619.99
2011-03-09,2619.0
2011-03-10,2614.99
2011-03-11,2613.4
2011-03-12,2599.99
2011-03-13,2599.98
2011-03-14,2599.97
2011-03-15,2597.0
2011-03-16,2597.0
2011-03-16,2594.99
2011-03-16,2594.99
2011-03-17,2594.0
2011-03-18,2589.99
2011-03-20,2589.97
2011-03-21,2588.97
2011-03-22,2584.99
2011-03-23,2581.47
2011-03-24,2580.0
2011-03-25,2579.99
2011-03-26,2579.95
2011-03-27,2572.99
2011-03-28,2568.0
2011-03-29,2563.0
2011-03-30,2552.99
2011-03-31,2549.99
2011-04-01,2549.97
2011-04-02,2547.99
2011-04-02,2547.99
2011-04-03,2547.0
2011-04-04,2545.0
2011-04-05,2543.98
2011-04-06,2536.3
2011-04-07,2530.0
2011-04-10,2527.99
2011-04-11,2520.66
2011-04-12,2520.0
2011-04-13,2518.99
2011-04-14,2508.0
2011-04-15,2499.99
2011-04-16,2487.99
2011-04-18,2453.0
2011-04-22,2400.0
2011-04-26,2399.99
2011-04-28,2399.96
2011-04-29,2393.99
2011-04-30,2379.99
2011-05-03,2370.0
2011-05-06,2369.94
2011-05-07,2365.99
2011-05-08,2359.47
2011-05-09,2349.99
2011-05-10,2347.57
2011-05-11,2343.99
2011-05-12,2343.68
2011-05-13,2340.0
2011-05-14,2337.12
2011-05-15,2329.99
2011-05-16,2320.0
2011-05-17,2319.0
2011-05-18,2318.99
2011-05-18,2319.0
2011-05-18,2318.99
2011-05-19,2317.0
2011-05-20,2315.0
2011-05-21,2312.99
2011-05-22,2299.99
2011-05-23,2298.97
2011-05-24,2287.97
2011-05-25,2274.0
2011-05-26,2273.47
2011-05-27,2270.0
2011-05-28,2270.74
2011-05-29,2273.49
2011-05-30,2270.0
2011-05-30,2270.0
2011-05-31,2249.99
2011-06-01,2246.49
2011-06-02,2239.92
2011-06-02,2239.92
2011-06-05,2234.47
2011-06-06,2234.45
2011-06-07,2234.47
2011-06-09,2234.45
2011-06-09,2234.44
2011-06-12,2232.99
2011-06-13,2232.89
2011-06-15,2230.5
2011-06-18,2227.97
2011-06-19,2224.89
2011-06-22,2199.0
2011-06-29,2189.0
2011-06-30,2188.49
2011-06-30,2187.99
2011-07-02,2185.0
2011-07-06,2172.75
2011-07-06,2172.69
2012-01-15,1999.0
2012-01-28,1999.0
2012-05-12,1999.0
2012-10-17,1999.0
2012-11-06,1999.0
2013-02-17,1999.0
2013-03-22,1999.0
2013-08-24,1999.0
2013-12-17,1999.0
